security_no,symbol,isin,isin_derived,isin_matches_derived,name_en,name_he,symbol_he,sub_type,issuer_id,yahoo_ticker
103010,TTAM,IL0001030100,IL0001030100,True,TIV TAAM,טיב טעם,טטעמ,Shares,103,TTAM.TA
106013,CNGL,IL0001060131,IL0001060131,True,CANADA GLOBAL,קנדה גלובל,קנגל,Shares,106,CNGL.TA
1080456,RIMO,IL0010804560,IL0010804560,True,RIMONI,רימוני,רמני,Shares,76,RIMO.TA
1080522,AUIS,IL0010805229,IL0010805229,True,AUSTRALIA ISR,אוסטרליה ישראל,אסיש,Shares,1001,AUIS.TA
1080597,GLTL,IL0010805971,IL0010805971,True,GILAT TELECOM,גילת טלקום,גלטל,Shares,1006,GLTL.TA
1080613,ANLT,IL0010806136,IL0010806136,True,ANALYST,אנליסט,אנלסט,Shares,1008,ANLT.TA
1080753,ILX,IL0010807530,IL0010807530,True,ILEX MEDICAL,אילקס מדיקל,אילקס,Shares,1019,ILX.TA
1080837,SHAN,IL0010808371,IL0010808371,True,SHANIV,שניב,שניב,Shares,1025,SHAN.TA
1080928,ININ,IL0010809288,IL0010809288,True,INTER INDSTRIES,אינטר תעשיות,אנתע,Shares,1028,ININ.TA
1080985,ISRO,IL0010809858,IL0010809858,True,ISROTEL,ישרוטל,ישרטל,Shares,1032,ISRO.TA
1081009,REKA,IL0010810096,IL0010810096,True,REKAH,רקח,רקח,Shares,1033,REKA.TA
1081074,ISTA,IL0010810740,IL0010810740,True,ISSTA,איסתא,אסתא,Shares,1036,ISTA.TA
1081116,ELRL,IL0010811169,IL0010811169,True,ELBIT REAL EST,"אלביט נדל""ן",אלנל,Shares,1039,ELRL.TA
1081124,ESLT,IL0010811243,IL0010811243,True,ELBIT SYSTEMS,אלביט מערכות,אלבמע,Shares,1040,ESLT.TA
1081165,MGDL,IL0010811656,IL0010811656,True,MIGDAL INSUR.,מגדל ביטוח,מגדל,Shares,1041,MGDL.TA
1081439,LUDN,IL0010814395,IL0010814395,True,LUDAN,לודן,לודן,Shares,1050,LUDN.TA
1081561,BSEN,IL0010815616,IL0010815616,True,BET SHEMESH,בית שמש,מנבש,Shares,1054,BSEN.TA
1081603,PLSN,IL0010816036,IL0010816036,True,PLASSON INDUS,פלסאון תעשיות,פלסון,Shares,1057,PLSN.TA
1081686,SMT,IL0010816861,IL0010816861,True,SUMMIT,סאמיט,סמט,Shares,1060,SMT.TA
1081843,MTAV,IL0010818438,IL0010818438,True,MEITAV INVEST,מיטב השקעות,מיטב,Shares,1064,MTAV.TA
1081942,SKBN,IL0010819428,IL0010819428,True,SHIKUN & BINUI,שיכון ובינוי,שוב,Shares,1068,SKBN.TA
